Reason (why not matched),Task name (Hubstaff),Project,ClickUp id tried,Hours
REMOTE_MISSING (id not in ClickUp),Smidge Beverage_AP Email,Operations - Bravix / Finance Faheem_CPA (H),86cxatnx5,22.6
REMOTE_MISSING (id not in ClickUp),Review : Revenue Reconciliation,Operations - Falcons / Edge_Josh (F),86cvwp2fr,22.6
REMOTE_MISSING (id not in ClickUp),Prepare 1099 report for filing,Operations - Bravix / Wisoman_Sonal (F),85zu0p7y1,22.5
NO_TASK (project-level only),(no task - project level),Operations - Titans / ADH_Alex (F),,22.5
REMOTE_MISSING (id not in ClickUp),BB LLC:Audit: Intercompany Reconciliation,Operations - Synergy / Blind_Adam (H),314bex3,22.5
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: 2111 - Amex Business Gold- 81006/84000,Operations - Synergy / Found_Bethany,314e9wj,22.4
REMOTE_MISSING (id not in ClickUp),BB Charley_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86d0n1uw7,22.4
REMOTE_MISSING (id not in ClickUp),Preparing Consolidated Financials Q3 2025,Operations - Synergy / Blind_Adam (H),86d0wu3xv,22.4
REMOTE_MISSING (id not in ClickUp),Smidge Beverage_Accounting package,Operations - Bravix / Finance Faheem_CPA (H),86cx2hw1c,22.4
NO_TASK (project-level only),(no task - project level),Operations - Synergy / DMW Advisory_Mike (H),,22.4
NO_TASK (project-level only),(no task - project level),Operations - Titans / LaxGadgets_Jawad (F),,22.4
REMOTE_MISSING (id not in ClickUp),Payroll Management: Payroll Reconcilation and Liability ,Operations - Falcons / Edge_Josh (F),85ztgvupj,22.3
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Status & Queries: Books Status & Fixing Queries,Operations - Bravix / Dannik_Olga (F),86d2eayqx,22.2
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation:1000 CHASE Bank Checking,Operations - Falcons / Lifemed_Jon (H),86cynf12a,22.2
REMOTE_MISSING (id not in ClickUp),Finale Inventory Management: Update PO and SO,Operations - Synergy / T1_Ward (F),85zrgpweb,22.2
REMOTE_MISSING (id not in ClickUp),Audit: Monthly Books review 2023,Operations - Titans / Craftmade_Kate  (H),85zt0x47a,22.1
NO_TASK (project-level only),(no task - project level),Operations - Ledger Labs / Bumble_Jamie,,22.1
REMOTE_MISSING (id not in ClickUp),NB - Training & Research: Blind_Adam_Cleanup_Task,Operations - Synergy / Blind_Adam (H),86d2df8gt,22.0
REMOTE_MISSING (id not in ClickUp),1099 2025 Working,Operations - Synergy / IDream_Joseph (H),86cxrfqn3,22.0
REMOTE_MISSING (id not in ClickUp),Prepair Excel M2M as shared the format Excel for Working ,Operations - Synergy / Master_Lloyd : Econo Homes LLC and Affiliates,85zrhcvbb,21.9
REMOTE_MISSING (id not in ClickUp),BB Charley:Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),314azhd,21.9
REMOTE_MISSING (id not in ClickUp),IDream IT: Reconcile Bank & Credit Card: PNC 1732,Operations - Synergy / IDream_Joseph (H),86d0xr7cm,21.9
REMOTE_MISSING (id not in ClickUp),Email Management: Checking Email & Daily Task Delegation,Operations - Synergy / Blind_Adam (H),86d0ah7mf,21.9
REMOTE_MISSING (id not in ClickUp),Preparing Consolidated Financials Q4 2025,Operations - Synergy / Blind_Adam (H),86d1n76a8,21.8
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Status & Queries: Books Status & Fixing Queries,Operations - Bravix / Dannik_Olga (F),86cv4kgnc,21.8
REMOTE_MISSING (id not in ClickUp),CFS - AOP Model Working 2024,Operations - Falcons / Topo_Erin (H),86cuqdc15,21.8
REMOTE_MISSING (id not in ClickUp),NB __ Training & Research,Operations - Synergy /Inter3rdParty_Mark (F),86d02hcnw,21.7
REMOTE_MISSING (id not in ClickUp),Tax Services: Prepare Report & Filing Sales Tax Return,Operations - Mavericks / SiliconValley_Jack,31nmf70,21.7
NO_REMOTE (native Hubstaff task),Watch Epicor training videos,Admin-Operational Works,,21.7
REMOTE_MISSING (id not in ClickUp),BB BB LLC_Intercompany: Principal/United Insurance working,Operations - Synergy / Blind_Adam (H),86cv7134f,21.7
REMOTE_MISSING (id not in ClickUp),Audit: Cashburn Report,Operations - Falcons / Edge_Josh (F),85ztmh19r,21.7
REMOTE_MISSING (id not in ClickUp),BB Philly:Bank & Card Reconciliation: Chase bank 1032,Operations - Synergy / Blind_Adam (H),314bcbd,21.6
REMOTE_MISSING (id not in ClickUp),BB Nashville_Barber_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86d0b3w8q,21.6
REMOTE_MISSING (id not in ClickUp),Understanding of books  and Budget vs actual sheet working,Operations - Syndicate / EdBall_Edward (F),86cvr7qqn,21.6
REMOTE_MISSING (id not in ClickUp),Meeting: Regular Meeting with Clients,Operations - Synergy / Blind_Adam (H),86cut6078,21.5
REMOTE_MISSING (id not in ClickUp),10. Tax Services: Prepare and File 1099s,Operations - Falcons /Smrtft_Rob (H),86cxqkkf1,21.5
REMOTE_MISSING (id not in ClickUp),02. Bank & Card Reconciliation: Sullivan Landing LLC: Chase Checking (8605),Operations - Falcons /Smrtft_Rob (H),86cvgn5cj,21.4
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: 2001 Credit Card - AMEX 6001,Archived Projects- Ledger Labs- / Nano_Chris,85zrty006,21.2
REMOTE_MISSING (id not in ClickUp),WARD,Tax-Compliance Taks -(Common),15505701,21.1
REMOTE_MISSING (id not in ClickUp),BB West_Payroll Management: Posting payroll From Paychex,Operations - Synergy / Blind_Adam (H),86cznaq2g,21.1
REMOTE_MISSING (id not in ClickUp),IDream IT: IDream_Weekly Invoicing,Operations - Synergy / IDream_Joseph (H),86d0xr7cn,21.1
REMOTE_MISSING (id not in ClickUp),Hostage_Bill.com,Operations - Bravix / Finance Faheem_CPA (H),86cx1ub3n,21.1
REMOTE_MISSING (id not in ClickUp),Deposit Transfirst & Cash,Operations - Syndicate / Maceoo_Mehdi (F),85yya1cad,21.1
REMOTE_MISSING (id not in ClickUp),Form3: Audit Book Correction and Review,Operations - Mavericks / Base_Bob (F),86cyrwb1n,21.1
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Status & Queries: Books Status & Fixing Queries,Operations - Bravix / Dannik_Olga (F),86d0p9kk1,21.0
REMOTE_MISSING (id not in ClickUp),JFK Property LLC__ Books Reconciliation & Review 2023,Operations - Synergy / IDream_Joseph (H),8678zb74v,21.0
REMOTE_MISSING (id not in ClickUp),BHN_Bank and card,Operations - Bravix / Finance Faheem_CPA (H),86cwz9833,20.9
NO_TASK (project-level only),(no task - project level),Operations - Ledger Labs / JBJ_Jean,,20.9
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: LVCH LLC (COSMO),Operations - Syndicate / Maceoo_Mehdi (F),85ztk8z6d,20.9
REMOTE_MISSING (id not in ClickUp),Royalty  Calculation,Onboarding Clients / Duvin_Garrett (F),86d0jq58b,20.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Wells Fargo_5533,Operations - Bravix / Wisoman_Sonal (F),85yxrw8ad,20.8
REMOTE_MISSING (id not in ClickUp),Audit: Books review and Document Request,Operations - Titans / Bee_Adam,8669cxc90,20.8
REMOTE_MISSING (id not in ClickUp),Projection Work ,Operations - Titans / Bee_Adam,85ztvpf2x,20.8
REMOTE_MISSING (id not in ClickUp),KAL - Bank & Card Reconciliation:,Operations - Falcons / Topo_Erin (H),86cxm0e45,20.8
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Status & Queries: Books Status & Fixing Queries,Operations - Bravix / Dannik_Olga (F),86czzgdyt,20.7
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Home Depot - QuickBooks Purchases,Operations - Synergy / Master_Lloyd : Econo Homes LLC and Affiliates,333cv4a,20.7
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Falcons / Nios_Josh,86cwpyjd2,20.7
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Regions Bank - 0131,Operations - Falcons / Gloves_Shakil,85ztjabmh,20.7
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Business Chk 5248,Operations - Synergy / T1_Ward (F),85ywjh2c0,20.7
REMOTE_MISSING (id not in ClickUp),TMM - Inbox Management : Daily Email Response,Operations - Falcons / Topo_Erin (H),86cv0q8p5,20.6
REMOTE_MISSING (id not in ClickUp),Credit Card:AMEX Business (12007),Onboarding Clients / Duvin_Garrett (F),86d0bkd1w,20.6
REMOTE_MISSING (id not in ClickUp),Inbox Management: Task Delegation & Follow up,Operations - Titans / McMullen_Sherri (H),86cyc9hvj,20.6
REMOTE_MISSING (id not in ClickUp),Weekly: Commission Sheet Update,Onboarding Clients / Duvin_Garrett (F),86cyv015p,20.5
REMOTE_MISSING (id not in ClickUp),Audit : P&L update,Operations - Titans / McMullen_Sherri (H),86cwvaqcx,20.5
REMOTE_MISSING (id not in ClickUp),Audit: Monthly General Ledger Review,Operations - Synergy / T1_Ward (F),85ywe3wxd,20.5
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Titans / TechUmbrella_Sam (F),31nkfp3,20.5
REMOTE_MISSING (id not in ClickUp),Audit: Review Books for Final Closing,Operations - Titans / McMullen_Sherri (H),86cveh0zp,20.4
REMOTE_MISSING (id not in ClickUp),Shopify Sale and COGS,Operations - Bravix / EpicRise_Lin (H),86cx8gau3,20.4
NO_TASK (project-level only),(no task - project level),Operations - Synergy / Master_Lloyd : Econo Homes LLC and Affiliates,,20.4
REMOTE_MISSING (id not in ClickUp),BB Highland_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86cvhuf31,20.4
REMOTE_MISSING (id not in ClickUp),Email Management: Checking Email & Daily Task Delegation,Operations - Synergy / Blind_Adam (H),86curwnwp,20.3
REMOTE_MISSING (id not in ClickUp),AR & AP: Luyan PO Making/Bill verifying,Operations - Synergy / Found_Bethany,866amg3h2,20.3
REMOTE_MISSING (id not in ClickUp),Audit: Monthly General Ledger Review,Operations - Falcons / Edge_Josh (F),85ztv2hue,20.3
REMOTE_MISSING (id not in ClickUp),Reconciliation: Bank and Credit Card,Operations - Synergy / Found_Bethany,86cuw9npd,20.2
REMOTE_MISSING (id not in ClickUp),Mortgages payable property wise,Operations - Bravix / CSProp_Lin (H),86cxbpbx4,20.2
REMOTE_MISSING (id not in ClickUp),Status & Queries: Checking Documents & Request,Operations - Bravix / SevenShopper_Lin (H),85yxgfdnt,20.2
NO_TASK (project-level only),(no task - project level),Operations - Syndicate / Whitehat_Gogi (H),,20.2
REMOTE_MISSING (id not in ClickUp),"Inbox, Book working",Operations - Syndicate / DMAF_Michael (H),86cy1jpqc,20.2
REMOTE_MISSING (id not in ClickUp),BB Chicago:Payroll Management: Posting payroll From Paychex,Operations - Synergy / Blind_Adam (H),314b1re,20.2
NO_REMOTE (native Hubstaff task),Training - Mutrux,Tracker- Billable Hours,,20.1
REMOTE_MISSING (id not in ClickUp),Clearing Account Reconciliation: Portal Sales __Cloudbeds Clearing,Operations - Synergy / Master_Lloyd : Antfam Hospitality LLC (H),85zt9rpw2,20.1
REMOTE_MISSING (id not in ClickUp),Financial Reporting- BuVar,Onboarding Clients / Duvin_Garrett (F),86cyuzg0n,20.1
REMOTE_MISSING (id not in ClickUp),TMM - AP Management : Adding Bills and Payments,Operations - Falcons / Topo_Erin (H),86cycpz4f,20.1
REMOTE_MISSING (id not in ClickUp),Audit: Monthly General Ledger Review,Operations - Titans / Unbox_Mohit (F),30yjkd3,20.1
REMOTE_MISSING (id not in ClickUp),Audit: Review AP & AR : Make Adjustment for their void Bills/invoice,Archived Projects- Ledger Labs- / Nano_Chris,85zrmvyxp,20.0
REMOTE_MISSING (id not in ClickUp),Tax Services: Filing of 1099,Operations - Syndicate / Macar_Ismail (H),86cuubeyr,20.0
REMOTE_MISSING (id not in ClickUp),BB Grooming_Update AP and AR sheet,Operations - Synergy / Blind_Adam (H),86cznq6gw,19.9
REMOTE_MISSING (id not in ClickUp),1.ASHBURN-Status & Queries: Books Status & Fixing Queries,Operations - Syndicate / Goddardschool_Akhil (F),31ng2pc,19.9
REMOTE_MISSING (id not in ClickUp),JFK: Reconcile Bank & Credit Cards: Flanagan Checking (7001),Operations - Synergy / IDream_Joseph (H),86cvyxyc5,19.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Chase CC 3112,Operations - Titans / Samadhi_Jessica (F),85ywfqhzr,19.9
REMOTE_MISSING (id not in ClickUp),NB - Research & Development,Operations - Falcons / NB Tasks - Falcons,86cv3p97e,19.9
REMOTE_MISSING (id not in ClickUp),Armus: Inbox Management: Task Delegation & Follow up,Operations - Alliance / Armus_Tran (F),85ztwx86u,19.8
REMOTE_MISSING (id not in ClickUp),AWE Bank & Credit Reconciliation,Operations - Bravix / Finance Faheem_CPA (H),86cwvruzz,19.8
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Audit : Monthly Review,Operations - Bravix / Dannik_Olga (F),85zu3f6w8,19.8
REMOTE_MISSING (id not in ClickUp),Bank and Card reconciliation,Operations - Bravix / CSProp_Lin (H),86d2egk9d,19.8
REMOTE_MISSING (id not in ClickUp),BB Highland:Payroll Management: Posting payroll From Paychex,Operations - Synergy / Blind_Adam (H),314av9d,19.7
REMOTE_MISSING (id not in ClickUp),Bank & Credit Card Reconciliation: Daily Basis Reconciliation,"Ledger Labs, Inc. / Ponte_Shana",85ztxyjvh,19.7
REMOTE_MISSING (id not in ClickUp),"Reconcile AR: Create Invoice, Apply Payment ",Operations - Synergy / IDream_Joseph (H),8678zuett,19.7
REMOTE_MISSING (id not in ClickUp),Payroll Management: Prepare Sheet Employee's hours & Recording in Software,Operations - Alliance / FoliaWater_Jonathan (H),85ywzr23w,19.7
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: BofA CC 6274,Operations - Synergy / T1_Ward (F),85ywjh2a5,19.7
REMOTE_MISSING (id not in ClickUp),1099 Working,Operations - Syndicate / Maceoo_Mehdi (F),86cu674cn,19.6
REMOTE_MISSING (id not in ClickUp),BB Moxy_AP Management: Adding Bills & Payments Reconciliation,Operations - Synergy / Blind_Adam (H),86curz3e3,19.6
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation,Operations - Titans / Butter_Wendell (F),86cw43utz,19.6
REMOTE_MISSING (id not in ClickUp),BB Chicago:Status & Queries: Checking Documents & Request,Operations - Synergy / Blind_Adam (H),314b1r4,19.6
REMOTE_MISSING (id not in ClickUp),Travis Loidolt_Bank & Card Reconcillation,Operations - Bravix / Mark Perlberg_CPA (F),86cyz2fkh,19.5
REMOTE_MISSING (id not in ClickUp),BB Nashville_Bar_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86cvhuf1y,19.5
REMOTE_MISSING (id not in ClickUp),BB Philly:Bank & Card Reconciliation: Chase bank 1032,Operations - Synergy / Blind_Adam (H),85yxzvt7d,19.5
REMOTE_MISSING (id not in ClickUp),06. AR Management : Rogue Invoicing,Operations - Falcons /Smrtft_Rob (H),86cu48gjp,19.5
REMOTE_MISSING (id not in ClickUp),Documentation- SOP Work Process,Onboarding Clients / Duvin_Garrett (F),86cyuzzqd,19.5
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Synergy / Blind_Adam (H),86cxf4b2d,19.5
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Titans / Unbox_Mohit (F),31nkg15,19.4
NO_TASK (project-level only),(no task - project level),Operations - Syndicate / Hooptech_Amy (F),,19.4
REMOTE_MISSING (id not in ClickUp),Audit and Review : Books Updation for  and AR/AP,Operations - Falcons / Edge_Josh (F),86cv3k23p,19.4
REMOTE_MISSING (id not in ClickUp),Payroll: Payroll Reconciliation,Operations - Titans / LakeNSkye_Courtney (H),866ahgwcq,19.4
REMOTE_MISSING (id not in ClickUp),Books Shorting,Operations - Synergy / T1_Ward (F),86cucy0z3,19.4
REMOTE_MISSING (id not in ClickUp),Book Status update and Fixing Queries,Operations - Mavericks / Base_Bob (F),86cx5p3az,19.3
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Credit Card Reconciliation : Ink Chase Credit Card 9437,Operations - Bravix / Dannik_Olga (F),85zu3f6p2,19.3
REMOTE_MISSING (id not in ClickUp),Vendor prepayment reconciliation,Operations - Bravix / EpicRise_Lin (H),86d1bvft5,19.2
REMOTE_MISSING (id not in ClickUp),Baselinx- Other: Expense App,Operations - Mavericks / Base_Bob (F),86cytccv8,19.2
REMOTE_MISSING (id not in ClickUp),06. AR Management : Scheels Invoicing,Operations - Falcons /Smrtft_Rob (H),85yya1c7n,19.2
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Synergy / Found_Bethany,314eajy,19.2
REMOTE_MISSING (id not in ClickUp),Master Vendor Sheet,Operations - Syndicate / Maceoo_Mehdi (F),86cx62y32,19.2
REMOTE_MISSING (id not in ClickUp),"Budget: Review Books, Check Variances, and Update Budget Sheet",Operations - Syndicate / EdBall_Edward (F),86cvt0v1h,19.2
REMOTE_MISSING (id not in ClickUp),Reporting: Budget v/s Actual Report,Operations - Falcons / Edge_Josh (F),86cvwgr37,19.2
REMOTE_MISSING (id not in ClickUp),Other - SOP management,Operations - Mavericks / Base_Bob (F),86cz3j87d,19.1
REMOTE_MISSING (id not in ClickUp),03. AP Management: Bills Add to AP sheet and folder,Operations - Falcons /Smrtft_Rob (H),30rvkhu,19.1
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Open Bills & Open Invoice,Operations - Synergy / Found_Bethany,314e9wn,19.1
NO_TASK (project-level only),(no task - project level),Operations - Syndicate / Munission_Dan (F),,19.1
REMOTE_MISSING (id not in ClickUp),Inventory Calculations & Bills Reco,Onboarding Clients / Duvin_Garrett (F),86cx0w70d,19.1
REMOTE_MISSING (id not in ClickUp),05. Payroll Management: Prepare Report & Run Payroll,Operations - Falcons /Smrtft_Rob (H),86cvvc793,19.1
NO_TASK (project-level only),(no task - project level),Onboarding Clients / TWBC_Blake,,19.1
NO_TASK (project-level only),(no task - project level),Operations - Titans / List,,19.0
NO_TASK (project-level only),(no task - project level),Operations - Mavericks / Diotima_Shin (H),,19.0
REMOTE_MISSING (id not in ClickUp),SF_Checking AP Email,Operations - Bravix / Finance Faheem_CPA (H),86cvjcrea,18.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: 1000 Operating Account (3562),Operations - Synergy / Master_Lloyd : Antfam Hospitality LLC (H),85zt9rpfz,18.9
REMOTE_MISSING (id not in ClickUp),Reconciled All 2022 Cash sales & Cash Purchase,Operations - Synergy / OXholdings_Billy (H),85zrjt3jr,18.9
REMOTE_MISSING (id not in ClickUp),Sales & COGS: Create property Schedule for 2022,Operations - Synergy / Master_Lloyd : Land LTR LLC (H),85zttb3ur,18.9
REMOTE_MISSING (id not in ClickUp),Dannik_Olga- Check and Resolve AP & AR queries on email,Operations - Bravix / Dannik_Olga (F),86curvrha,18.9
REMOTE_MISSING (id not in ClickUp),Payroll: Payroll MJE,Operations - Synergy / Found_Bethany,85zt5xtkx,18.8
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Review : AP aging and Aged Receivable,Operations - Bravix / Dannik_Olga (F),86cv0gk4j,18.8
REMOTE_MISSING (id not in ClickUp),04. CFOs Services: Cash Flow & Projections,Operations - Falcons /Smrtft_Rob (H),86cu61j8k,18.8
REMOTE_MISSING (id not in ClickUp),04. CFOs Services: Cash Flow & Projections,Operations - Falcons /Smrtft_Rob (H),85yya1bym,18.8
REMOTE_MISSING (id not in ClickUp),03. AP Management: AP Bills Payment,Operations - Falcons /Smrtft_Rob (H),86cv0f7xy,18.8
REMOTE_MISSING (id not in ClickUp),3.MANGO LLC-Status & Queries: Books Status & Fixing Queries,Operations - Titans / Mango_Raj (H),31nk7wn,18.7
REMOTE_MISSING (id not in ClickUp),Audit: Monthly General Ledger Review,Operations - Bravix / SevenShopper_Lin (H),31a2bkp,18.7
REMOTE_MISSING (id not in ClickUp),BB LLC:Audit: Intercompany Reconciliation,Operations - Synergy / Blind_Adam (H),85ztuhcrf,18.6
REMOTE_MISSING (id not in ClickUp),Audit: Monthly Financial Review,Operations - Bravix / SevenShopper_Lin (H),31a2bmn,18.6
REMOTE_MISSING (id not in ClickUp),06. AR Management : Scheels Invoicing,Operations - Falcons /Smrtft_Rob (H),86cv2ervx,18.6
REMOTE_MISSING (id not in ClickUp),NB - Meeting with Management,Operations - Falcons / NB Tasks - Falcons,86d0ff5g2,18.6
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Syndicate / Whitehat_Gogi (H),30k8r8w,18.6
REMOTE_MISSING (id not in ClickUp),Blue Pineapple Rental Group_Book Status & Querry resolve_2023,Operations - Bravix / Mark Perlberg_CPA (F),86cvpede1,18.5
REMOTE_MISSING (id not in ClickUp),Status & Queries: Reconcile Bank + Review + Query update+Bill.com +CC (for the Current Month),Operations - Ledger Labs / Coare_Hansel,30rxgyj,18.5
REMOTE_MISSING (id not in ClickUp),Peace Collective-GST/HST sales Data,Operations - Bravix / Finance Faheem_CPA (H),86cy1kfbx,18.5
REMOTE_MISSING (id not in ClickUp),Bluebird Valuation : Credit Card Reconciliation,Operations - Syndicate / Maceoo_Mehdi (F),85ztj2c58,18.5
REMOTE_MISSING (id not in ClickUp),Review the initial meeting recording and establish client expectations.,Onboarding Clients / Duvin_Garrett (F),86cw72pft,18.5
REMOTE_MISSING (id not in ClickUp),Book staus update and queries update,Operations - Alliance / Elite_Lysha (F),85ywbptb4,18.4
NO_TASK (project-level only),(no task - project level),Onboarding Clients / Una_Malan,,18.4
NO_TASK (project-level only),(no task - project level),Operations - Mavericks / CLKSupplies_PJ (F),,18.4
REMOTE_MISSING (id not in ClickUp),Other: Preparing SOP,Operations - Mavericks / Base_Bob (F),86cynhkyb,18.4
REMOTE_MISSING (id not in ClickUp),Status & Queries: Checking Documents & Request,"Ledger Labs, Inc. / Portable_Joe",30rvkzk,18.4
REMOTE_MISSING (id not in ClickUp),Travis_Monday.com folder Management,Operations - Bravix / Mark Perlberg_CPA (F),86d065j18,18.4
REMOTE_MISSING (id not in ClickUp),BB Grooming_Shopify Sales Reconciliation & Recategorization of Sales,Operations - Synergy / Blind_Adam (H),86cy38bhh,18.4
REMOTE_MISSING (id not in ClickUp),SF_Transaction Coding,Operations - Bravix / Finance Faheem_CPA (H),86cvvkpgu,18.4
REMOTE_MISSING (id not in ClickUp),BB BB LLC_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86cznpjd2,18.4
REMOTE_MISSING (id not in ClickUp),NB - Inbox Management & Task Delegation,Operations - Falcons / NB Tasks - Falcons,86d0yjnj6,18.4
REMOTE_MISSING (id not in ClickUp),IDream Recommerce: Reconcile Bank & Credit Card: PNC 8905,Operations - Synergy / IDream_Joseph (H),86cv5ujbg,18.3
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Syndicate / EdBall_Edward (F),86cx7wenp,18.3
NO_TASK (project-level only),(no task - project level),Operations - Syndicate / DMAF_Michael (H),,18.3
REMOTE_MISSING (id not in ClickUp),BB West_Tax Services: Prepare Sales Report for Sales Tax Return Monthly,Operations - Synergy / Blind_Adam (H),86cvr9z8k,18.3
REMOTE_MISSING (id not in ClickUp),Bank and card reconciliation,Operations - Bravix / EpicRise_Lin (H),86cx8gand,18.3
REMOTE_MISSING (id not in ClickUp),AP Management: Update Vendor Tracking Sheet,Operations - Syndicate / EdBall_Edward (F),86cx2um2h,18.2
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Titans / Adventures_Tara (H),86cyg5y5k,18.2
REMOTE_MISSING (id not in ClickUp),AR Management: Late Fees Invoicing,"Ledger Labs, Inc. / Ponte_Shana",85yy7enm2,18.2
REMOTE_MISSING (id not in ClickUp),"3.MANGO LLC-Status & Queries: Checking Documents, Request & Downloading",Operations - Titans / Mango_Raj (H),31nk7vu,18.2
NO_TASK (project-level only),(no task - project level),Operations - Bravix / Mark Perlberg_CPA (F),,18.2
REMOTE_MISSING (id not in ClickUp),1099 Contractors Report Preparation and Filing,Operations - Titans / Onspec_David,85zrjkzae,18.2
REMOTE_MISSING (id not in ClickUp),BB Charley:Payroll Management: Posting Payroll From Paychex,Operations - Synergy / Blind_Adam (H),85zrhapbv,18.1
NO_TASK (project-level only),(no task - project level),Archived Projects- Ledger Labs- / Akash Onboarding,,18.1
REMOTE_MISSING (id not in ClickUp),QBO- Sepration as entity wise,Operations - Synergy / IDream_Joseph (H),86cud0kx5,18.1
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Wood Forest chk_0610,Operations - Mavericks / ChefPoint_Paula (F),30rw7gq,18.1
REMOTE_MISSING (id not in ClickUp),BB Grooming: Sales Reconciliation: Shopify,Operations - Synergy / Blind_Adam (H),314bdq7,18.1
REMOTE_MISSING (id not in ClickUp),02. Bank & Card Reconciliation: Chase Checking (5963),Operations - Falcons /Smrtft_Rob (H),85yya1bzt,18.0
REMOTE_MISSING (id not in ClickUp),CFS- Payroll,Operations - Falcons / Topo_Erin (H),86cxr1hyt,18.0
NO_TASK (project-level only),(no task - project level),Operations - Titans / Giften_Martha (F),,18.0
REMOTE_MISSING (id not in ClickUp),TLV- Oppenheimer Reconciliation ,Operations - Falcons / Topo_Erin (H),86cw43v8r,17.9
REMOTE_MISSING (id not in ClickUp),BB Grooming:Inventory & COGS: Reconcile COGS & Ending Inventory,Operations - Synergy / Blind_Adam (H),85yxzvtth,17.9
NO_REMOTE (native Hubstaff task),Admin-Research: tax credit updates,Admin-Operational Works,,17.9
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Status & Queries: Books Status & Fixing Queries,Operations - Bravix / Dannik_Olga (F),86d2v45te,17.9
REMOTE_MISSING (id not in ClickUp),AP Management: COARE Bill.com-Clearing A/C,Operations - Ledger Labs / Coare_Hansel,30rxb8f,17.8
REMOTE_MISSING (id not in ClickUp),AR & AP: Chewy Orders,Operations - Synergy / Found_Bethany,866ay42e6,17.8
REMOTE_MISSING (id not in ClickUp),All Bev _AP Reco & Bills adding in RAMP,Operations - Bravix / Finance Faheem_CPA (H),86d334an8,17.7
REMOTE_MISSING (id not in ClickUp),LP- Bank & Card Reconciliation ,Operations - Falcons / Topo_Erin (H),86cvtp35p,17.7
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: 1007 - Outgoing- Bank of America (7880),Operations - Synergy / Found_Bethany,314e9w8,17.7
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Amazon Settlement Report Reconciliation,Operations - Bravix / SevenShopper_Lin (H),85ywp5c0p,17.7
REMOTE_MISSING (id not in ClickUp),Stripe Check and Updated (Jan to Aug)_2024,Operations - Syndicate / Munission_Dan (F),86cwjhpkc,17.7
REMOTE_MISSING (id not in ClickUp),Task Verify,Operations - Bravix / EpicRise_Lin (H),86cw8j1yh,17.6
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconcilation: Bank of America 3796 ,Operations - Ledger Labs / Toptier_Sean,86curc4y1,17.5
REMOTE_MISSING (id not in ClickUp),"Status & Queries: Checking Documents, Request & Downloading",Operations - Syndicate / PJD_Paul (H),31nkcj1,17.5
NO_TASK (project-level only),(no task - project level),HR & Admin Task / HR Policy & Compliance (#2),,17.5
NO_REMOTE (native Hubstaff task),Maceoo - PR notices,Admin-Operational Works,,17.5
REMOTE_MISSING (id not in ClickUp),AP Management: Adding Bills (Bill.com),Operations - Alliance / FoliaWater_Jonathan (H),85yx2nv1v,17.4
